Estimate summary
Upfront cost,Monthly cost,Total 12 months cost,Currency
0,6306.456,75677.47,USD
,,* Includes upfront cost


Detailed Estimate
Group hierarchy,Region,Description,Service,Upfront,Monthly,First 12 months total,Currency,Configuration summary
My Estimate,US East (N. Virginia),,Amazon EC2 ,0,1724.498,20693.98,USD,"Tenancy (Dedicated Instances), Operating system (Linux), Workload (Consistent, Number of instances: 6), Advance EC2 instance (t3.large), Pricing strategy (Standard Reserved Instances 1 Year  None upfront), Enable monitoring (disabled), EBS Storage amount (30 GB), DT Inbound: Not selected (0 TB per month), DT Outbound: Not selected (0 TB per month), DT Intra-Region: (0 TB per month)"
My Estimate,US East (N. Virginia),,Amazon EC2 ,0,312.678,3752.14,USD,"Tenancy (Dedicated Instances), Operating system (Linux), Workload (Consistent, Number of instances: 6), Advance EC2 instance (m4.large), Pricing strategy (Standard Reserved Instances 1 Year  None upfront), Enable monitoring (disabled), EBS Storage amount (30 GB), DT Inbound: Not selected (0 TB per month), DT Outbound: Not selected (0 TB per month), DT Intra-Region: (0 TB per month)"
My Estimate,US East (N. Virginia),,Amazon RDS for PostgreSQL,0,2046.7599999999998,24561.12,USD,"Storage volume (General Purpose SSD (gp2)), Storage amount (3 TB), Nodes (2), Instance Type (db.m5d.large), Utilization (On-Demand only) (100 %Utilized/Month), Deployment Option (Multi-AZ), Pricing Model (OnDemand)"
My Estimate,US East (N. Virginia),,S3 Standard,0,230,2760.00,USD,S3 Standard storage (10000 GB per month)
My Estimate,US East (N. Virginia),,Data Transfer,0,0,0.00,USD,
My Estimate,US East (N. Virginia),,AWS Data Transfer,0,0,0.00,USD,"DT Inbound: Not selected (0 TB per month), DT Outbound: Not selected (0 TB per month), DT Intra-Region: (0 TB per month)"
My Estimate,US East (N. Virginia),,Amazon Route 53,0,475.5,5706.00,USD,"Hosted Zones (1), Basic Checks Within AWS (1000)"
My Estimate,US East (N. Virginia),,VPN Connection,0,0,0.00,USD,Working days per month (22)
My Estimate,US East (N. Virginia),,Network Address Translation (NAT) Gateway,0,1184.85,14218.20,USD,Number of NAT Gateways (1)
My Estimate,US East (N. Virginia),,Amazon CloudWatch,0,7,84.00,USD,"Number of Metrics (includes detailed and custom metrics) (10), GetMetricData: Number of metrics requested (100000), GetMetricWidgetImage: Number of metrics requested (100000), Number of other API requests (100000)"
My Estimate,US East (N. Virginia),,Application Load Balancer,0,325.17,3902.04,USD,Number of Application Load Balancers (2)



Acknowledgement
"* AWS Pricing Calculator provides only an estimate of your AWS fees and doesn't include any taxes that might apply. Your actual fees depend on a variety of factors, including your actual usage of AWS services."
